record_id,split,log_followers,log_following,log_bio_length,log_posts,has_profile_pic,is_private,username_digits,username_length,log_following_follower_ratio,username_digit_fraction,no_posts,is_fake
0,test,3.258096538021482,7.569411792450712,0.0,0.0,1,1,0,10,4.31131525442923,0.0,1,1
1,train,5.783825182329737,8.3243363327069,0.0,0.0,1,0,4,15,2.5405111503771636,0.26666666666666666,1,1
2,test,2.772588722239781,5.991464547107982,0.0,0.0,0,0,3,12,3.2188758248682006,0.25,1,1
3,train,2.70805020110221,4.68213122712422,0.0,0.6931471805599453,1,0,1,10,1.9740810260220099,0.1,0,1
4,test,5.579729825986222,8.445052513638554,0.0,0.0,1,0,0,14,2.8653226876523323,0.0,1,1
5,train,3.5263605246161616,7.293697720601438,0.0,1.0986122886681096,1,1,4,13,3.7673371959852764,0.3076923076923077,0,1
6,train,6.042632833682381,8.493719835230594,3.4339872044851463,2.1972245773362196,1,0,0,12,2.4510870015482134,0.0,0,1
7,train,6.093569770045136,8.804325112562537,0.0,5.983936280687191,1,0,0,11,2.710755342517402,0.0,0,1
8,train,6.705639094860003,8.922391597295857,0.0,4.454347296253507,1,0,3,15,2.2167525024358534,0.2,0,1
9,test,5.017279836814924,8.79966169681513,0.6931471805599453,0.0,1,1,3,8,3.782381860000206,0.375,1,1
10,train,5.4638318050256105,8.882252884889363,0.0,0.6931471805599453,1,1,2,14,3.4184210798637524,0.14285714285714285,0,1
11,train,4.605170185988092,7.214504414151143,0.0,0.6931471805599453,1,0,3,7,2.6093342281630516,0.42857142857142855,0,1
12,test,4.0943445622221,8.795430805040018,0.0,0.0,0,1,0,12,4.701086242817918,0.0,1,1
13,train,1.6094379124341003,5.19295685089021,0.0,0.6931471805599453,1,0,0,17,3.58351893845611,0.0,0,1
14,train,3.6888794541139363,6.930494765951626,4.07753744390572,0.0,0,0,3,30,3.24161531183769,0.1,1,1
15,train,2.1972245773362196,3.1780538303479458,0.0,0.0,0,0,0,10,0.9808292530117262,0.0,1,1
16,train,6.434546518787453,5.8998973535824915,3.295836866004329,1.0986122886681096,0,0,0,9,-0.5346491652049616,0.0,0,1
17,train,3.6375861597263857,5.337538079701318,0.0,0.0,0,0,0,15,1.6999519199749322,0.0,1,1
18,test,4.204692619390966,5.501258210544727,3.5553480614894135,0.0,0,0,0,11,1.2965655911537617,0.0,1,1
19,test,3.4965075614664802,1.6094379124341003,0.0,0.6931471805599453,1,0,2,10,-1.88706964903238,0.2,0,1
20,train,3.332204510175204,5.872117789475416,0.0,0.0,1,1,4,10,2.539913279300212,0.4,1,1
21,train,3.8712010109078907,4.672828834461906,0.0,0.0,0,0,3,11,0.8016278235540151,0.2727272727272727,1,1
22,train,3.258096538021482,4.919980925828125,0.0,0.0,0,1,2,8,1.661884387806643,0.25,1,1
23,train,1.791759469228055,5.497168225293202,0.0,0.6931471805599453,0,1,0,12,3.705408756065147,0.0,0,1
24,train,0.0,6.744059186311348,0.0,0.0,0,1,4,9,6.744059186311348,0.4444444444444444,1,1
25,test,5.4510384535657,8.701845363548474,4.718498871295094,0.6931471805599453,1,0,1,20,3.2508069099827734,0.05,0,1
26,train,6.282266746896006,6.29156913955832,2.4849066497880004,0.0,1,0,0,11,0.00930239266231414,0.0,1,1
27,train,0.6931471805599453,2.1972245773362196,0.0,0.0,0,0,0,11,1.5040773967762742,0.0,1,1
28,train,0.0,4.844187086458591,0.0,0.0,1,1,0,5,4.844187086458591,0.0,1,1
29,train,1.791759469228055,4.356708826689592,0.0,0.0,1,0,4,10,2.5649493574615367,0.4,1,1
30,train,0.0,1.9459101490553132,0.0,0.0,0,1,7,11,1.9459101490553132,0.6363636363636364,1,1
31,train,4.394449154672439,7.520234556474628,2.833213344056216,0.6931471805599453,1,1,0,9,3.1257854018021884,0.0,0,1
32,train,4.477336814478207,6.747586526829315,3.9889840465642745,0.0,1,0,0,8,2.2702497123511085,0.0,1,1
33,train,3.4011973816621555,7.38025578842646,4.499809670330265,1.0986122886681096,1,0,0,11,3.9790584067643047,0.0,0,1
34,train,5.5134287461649825,7.4673710669175595,0.0,1.3862943611198906,1,0,4,10,1.953942320752577,0.4,0,1
35,train,5.673323267171493,7.727535110475448,0.0,0.0,0,1,0,12,2.054211843303955,0.0,1,1
36,test,2.5649493574615367,7.909122183211411,2.833213344056216,0.6931471805599453,1,1,0,13,5.344172825749874,0.0,0,1
37,test,3.8501476017100584,7.8328075165248645,0.0,0.0,0,0,2,12,3.982659914814806,0.16666666666666666,1,1
38,train,1.0986122886681096,7.587817219993427,2.639057329615259,0.0,0,1,1,11,6.489204931325318,0.09090909090909091,1,1
39,train,2.1972245773362196,7.215239978730097,0.0,0.0,1,0,0,8,5.018015401393878,0.0,1,1
40,train,3.6109179126442243,7.60339933974067,2.3978952727983707,1.9459101490553132,0,1,2,13,3.9924814270964455,0.15384615384615385,0,1
41,train,3.6375861597263857,7.592366128519796,2.1972245773362196,0.6931471805599453,1,0,3,9,3.95477996879341,0.3333333333333333,0,1
42,train,4.127134385045092,6.900730664045173,0.0,0.0,1,0,4,10,2.773596279000081,0.4,1,1
43,test,4.663439094112067,8.825118970345061,2.8903717578961645,0.0,1,0,0,6,4.161679876232994,0.0,1,1
44,train,6.410174881966167,8.916774356365426,3.044522437723423,0.0,0,1,0,9,2.506599474399259,0.0,1,1
45,train,2.70805020110221,7.453561871643373,0.0,0.0,1,1,4,9,4.745511670541163,0.4444444444444444,1,1
46,test,4.248495242049359,8.182559264068665,0.0,0.6931471805599453,0,0,1,9,3.9340640220193057,0.1111111111111111,0,1
47,train,3.295836866004329,7.560080465021827,0.0,0.0,0,0,0,12,4.264243599017498,0.0,1,1
48,train,2.5649493574615367,7.444833273892193,0.0,0.6931471805599453,1,0,3,13,4.879883916430657,0.23076923076923078,0,1
49,train,2.5649493574615367,7.228388451573604,0.0,0.0,0,0,5,15,4.663439094112068,0.3333333333333333,1,1
50,train,3.9512437185814275,8.08394570229562,3.9318256327243257,0.0,1,1,2,13,4.132701983714194,0.15384615384615385,1,1
51,train,2.1972245773362196,7.444248649496705,0.0,0.0,1,1,2,7,5.247024072160485,0.2857142857142857,1,1
52,train,6.244166900663736,7.600902459542082,3.332204510175204,0.0,1,0,0,6,1.3567355588783458,0.0,1,1
53,train,4.653960350157523,7.261225091971921,3.9889840465642745,0.0,0,0,0,13,2.607264741814398,0.0,1,1
54,train,4.430816798843313,7.607381425639791,0.0,0.0,1,1,2,12,3.1765646267964778,0.16666666666666666,1,1
55,train,4.248495242049359,7.226209010100671,2.302585092994046,0.0,1,1,1,7,2.977713768051312,0.14285714285714285,1,1
56,train,5.645446897643238,7.831220214604293,0.0,1.791759469228055,1,0,2,11,2.185773316961055,0.18181818181818182,0,1
57,train,3.912023005428146,7.824046010856292,3.1780538303479458,0.6931471805599453,1,0,4,17,3.912023005428146,0.23529411764705882,0,1
58,train,2.70805020110221,8.11969625295725,0.0,0.0,1,0,1,7,5.411646051855039,0.14285714285714285,1,1
59,train,3.912023005428146,8.002359546252707,0.0,0.0,0,0,0,8,4.090336540824561,0.0,1,1
60,train,3.044522437723423,8.173011311724972,0.0,0.0,0,0,1,11,5.128488874001549,0.09090909090909091,1,1
61,train,4.1588830833596715,7.7488913372555315,0.0,0.0,1,0,4,9,3.59000825389586,0.4444444444444444,1,1
62,test,1.791759469228055,6.872128101338986,0.0,0.6931471805599453,1,0,0,9,5.080368632110931,0.0,0,1
63,test,4.07753744390572,6.717804695023691,0.0,0.0,1,0,4,12,2.6402672511179714,0.3333333333333333,1,1
64,test,4.709530201312334,7.385851078125209,0.0,0.0,0,1,4,12,2.6763208768128752,0.3333333333333333,1,1
65,train,3.091042453358316,6.853299093186078,0.0,0.6931471805599453,1,0,1,10,3.762256639827762,0.1,0,1
66,train,2.772588722239781,6.492239835020471,0.0,0.6931471805599453,1,0,0,8,3.71965111278069,0.0,0,1
67,test,1.0986122886681096,6.630683385642372,0.0,0.0,1,0,3,13,5.532071096974262,0.23076923076923078,1,1
68,train,4.836281906951478,7.242082359256962,2.772588722239781,0.0,1,1,2,12,2.405800452305484,0.16666666666666666,1,1
69,test,2.70805020110221,8.034955024502159,0.0,0.6931471805599453,1,0,0,11,5.326904823399948,0.0,0,1
70,train,1.6094379124341003,6.784457062637643,0.0,0.0,1,0,1,7,5.175019150203543,0.14285714285714285,1,1
71,train,2.4849066497880004,7.549082710812286,3.6375861597263857,0.0,1,1,2,9,5.064176061024286,0.2222222222222222,1,1
72,test,8.073714641109857,7.555905093611346,0.0,0.0,0,0,5,15,-0.5178095474985112,0.3333333333333333,1,1
73,train,0.0,7.829630389150193,0.0,0.6931471805599453,1,1,0,13,7.829630389150193,0.0,0,1
74,train,4.8283137373023015,7.252762418053187,4.454347296253507,0.0,1,1,0,13,2.424448680750886,0.0,1,1
75,train,6.091309882077698,7.927685045615778,0.0,0.0,0,1,2,9,1.8363751635380803,0.2222222222222222,1,1
76,test,2.3978952727983707,7.478169694159785,0.0,0.0,0,0,4,14,5.080274421361414,0.2857142857142857,1,1
77,train,2.70805020110221,7.114769448366463,0.0,1.6094379124341003,0,1,0,14,4.4067192472642525,0.0,0,1
78,train,2.833213344056216,7.813591552952433,0.0,0.0,0,0,0,13,4.980378208896217,0.0,1,1
79,train,3.1354942159291497,7.888709524182015,0.0,0.0,0,1,2,9,4.753215308252865,0.2222222222222222,1,1
